Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
ARAY,Accuray Incorporated,224.26M,2.230,-3.88%,444.20M
GROY,Gold Royalty Corp.,223.50M,1.320,3.13%,7.76M
KFS,Kingsway Financial Services Inc.,223.34M,8.10,-1.82%,108.63M
TCI,"Transcontinental Realty Investors, Inc.",223.24M,25.84,-5.45%,49.82M
GMGI,"Golden Matrix Group, Inc.",222.94M,1.725,-9.21%,87.56M
HPAI,Helport AI Limited,222.80M,6.00,1.01%,29.58M
FET,"Forum Energy Technologies, Inc.",222.58M,18.12,-0.82%,800.61M
VSTA,Vasta Platform Limited,222.08M,2.770,-0.36%,280.87M
PERF,Perfect Corp.,221.01M,2.170,-4.41%,58.45M
LAKE,"Lakeland Industries, Inc.",220.27M,23.19,-4.33%,151.82M
LWLG,"Lightwave Logic, Inc.",220.27M,1.800,-3.74%,113.19K
LFCR,"Lifecore Biomedical, Inc.",219.93M,5.94,-2.62%,130.86M
FVCB,"FVCBankcorp, Inc.",219.73M,12.07,-2.43%,58.12M
MACI,Melar Acquisition Corp. I,219.68M,10.16,0.20%,-
AOUT,"American Outdoor Brands, Inc.",219.28M,17.18,0.06%,201.60M
HITI,High Tide Inc.,219.07M,2.790,2.57%,374.82M
SERA,"Sera Prognostics, Inc.",218.51M,6.47,-2.71%,94.00K
RGCO,"RGC Resources, Inc.",218.30M,21.27,-1.16%,84.64M
PRQR,ProQR Therapeutics N.V.,218.28M,2.115,-1.63%,20.51M
LCNB,LCNB Corp.,218.26M,15.46,2.38%,79.24M
MYPS,"PLAYSTUDIOS, Inc.",218.20M,1.750,-5.91%,298.76M
NVX,NOVONIX Limited,217.94M,1.460,-,6.88M
CTRN,"Citi Trends, Inc.",217.54M,25.90,-1.03%,757.09M
AZ,A2Z Cust2Mate Solutions Corp.,217.49M,7.40,-,6.63M
ESEA,Euroseas Ltd.,217.49M,31.01,-1.21%,208.65M
ODV,Osisko Development Corp.,217.05M,1.570,-2.48%,8.49M
DSX,Diana Shipping Inc.,216.74M,1.820,-1.09%,231.15M
ZYBT,Zhengye Biotechnology Holding Limited,216.49M,4.590,3.85%,26.11M
SVCC,Stellar V Capital Corp.,216.37M,10.01,-,-
KVAC,Keen Vision Acquisition Corporation,214.96M,11.10,-,-
NAUT,"Nautilus Biotechnology, Inc.",214.71M,1.710,-3.39%,-
OVLY,Oak Valley Bancorp,213.80M,25.87,-0.42%,78.21M
FULC,"Fulcrum Therapeutics, Inc.",213.60M,3.960,-5.26%,80.87M
AMPY,Amplify Energy Corp.,213.29M,5.34,-1.29%,304.65M
CIO,"City Office REIT, Inc.",213.22M,5.31,0.95%,173.53M
NIPG,NIP Group Inc.,212.88M,3.785,-2.94%,84.45M
DYNX,Dynamix Corporation,212.51M,9.96,0.04%,2.12M
SMID,Smith-Midland Corporation,212.30M,40.03,-1.36%,76.37M
OCGN,"Ocugen, Inc.",211.91M,0.727,-5.43%,4.70M
MDWD,MediWound Ltd.,211.27M,19.58,-1.51%,19.72M
ESSA,"ESSA Bancorp, Inc.",211.18M,20.91,-0.05%,67.43M
HURA,"TuHURA Biosciences, Inc.",211.00M,4.990,1.42%,-
FUNC,First United Corporation,210.75M,32.58,0.80%,71.03M
SRG,Seritage Growth Properties,210.44M,3.740,-1.06%,56.36M
BPRN,"Princeton Bancorp, Inc.",210.07M,30.52,-4.00%,69.58M
GAUZ,Gauzy Ltd.,209.93M,11.23,-1.66%,94.35M
GENK,"GEN Restaurant Group, Inc.",209.92M,6.40,0.79%,198.83M
KINS,"Kingstone Companies, Inc.",209.81M,16.99,2.35%,149.65M
DC,Dakota Gold Corp.,209.64M,2.220,-1.33%,-
