Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
GGB,Gerdau S.A.,5.82B,2.910,-2.68%,11.92B
LSTR,"Landstar System, Inc.",5.82B,164.66,-1.37%,4.83B
ABG,"Asbury Automotive Group, Inc.",5.81B,296.68,-3.00%,17.19B
GH,"Guardant Health, Inc.",5.80B,46.98,-5.93%,692.26M
REYN,Reynolds Consumer Products Inc.,5.80B,27.61,-0.40%,3.68B
INSP,"Inspire Medical Systems, Inc.",5.80B,193.50,-0.63%,755.59M
HRI,Herc Holdings Inc.,5.79B,203.96,-2.11%,3.45B
WHR,Whirlpool Corporation,5.79B,105.01,-3.12%,16.61B
VNT,Vontier Corporation,5.79B,38.55,-1.33%,2.99B
FG,"F&G Annuities & Life, Inc.",5.79B,45.91,-0.99%,5.83B
SMTC,Semtech Corporation,5.77B,66.96,-1.08%,851.23M
LRN,"Stride, Inc.",5.77B,134.90,0.57%,2.19B
OZK,Bank OZK,5.76B,50.79,-0.16%,1.48B
UMBF,UMB Financial Corporation,5.76B,117.90,-2.00%,1.57B
QTWO,"Q2 Holdings, Inc.",5.75B,95.17,-2.59%,675.54M
VLY,Valley National Bancorp,5.74B,10.28,0.29%,1.52B
MOG.A,Moog Inc.,5.74B,181.55,-3.21%,3.66B
MOG.B,Moog Inc.,5.73B,178.27,-,3.66B
AMG,"Affiliated Managers Group, Inc.",5.68B,187.94,-0.93%,2.02B
EPRT,"Essential Properties Realty Trust, Inc.",5.65B,32.10,-0.31%,428.54M
FNB,F.N.B. Corporation,5.64B,15.69,-0.88%,1.52B
MTH,Meritage Homes Corporation,5.63B,77.87,-3.89%,6.40B
FRSH,Freshworks Inc.,5.63B,18.60,-,685.96M
GBCI,"Glacier Bancorp, Inc.",5.63B,49.67,0.04%,804.77M
TKR,The Timken Company,5.63B,80.27,0.14%,4.59B
ELF,"e.l.f. Beauty, Inc.",5.63B,99.91,-6.67%,1.22B
NOV,NOV Inc.,5.62B,14.45,-0.14%,8.91B
ACIW,"ACI Worldwide, Inc.",5.62B,53.55,-1.47%,1.62B
LYFT,"Lyft, Inc.",5.62B,13.54,-0.15%,5.46B
IBP,"Installed Building Products, Inc.",5.56B,198.84,-3.58%,2.91B
CSWI,"CSW Industrials, Inc.",5.54B,329.81,0.59%,858.61M
DY,"Dycom Industries, Inc.",5.52B,189.16,0.57%,4.57B
INTA,"Intapp, Inc.",5.52B,71.29,-1.74%,447.75M
THG,"The Hanover Insurance Group, Inc.",5.52B,153.09,-1.69%,6.18B
CMC,Commercial Metals Company,5.51B,48.49,-1.02%,7.83B
NSIT,"Insight Enterprises, Inc.",5.49B,172.75,-0.43%,8.87B
PAM,Pampa Energía S.A.,5.49B,89.43,-0.36%,2.71B
INGM,Ingram Micro Holding Corporation,5.48B,23.32,1.39%,47.66B
THO,"THOR Industries, Inc.",5.47B,102.84,-2.42%,9.69B
MAIN,Main Street Capital Corporation,5.46B,61.96,0.83%,529.90M
CHX,ChampionX Corporation,5.46B,28.64,-1.95%,3.67B
TSEM,Tower Semiconductor Ltd.,5.45B,48.89,0.43%,1.40B
QXO,"QXO, Inc.",5.44B,13.29,-0.97%,56.84M
WK,Workiva Inc.,5.44B,98.22,-0.89%,705.44M
DNB,"Dun & Bradstreet Holdings, Inc.",5.43B,12.30,1.23%,2.38B
GXO,"GXO Logistics, Inc.",5.43B,45.45,-1.13%,11.05B
CRK,"Comstock Resources, Inc.",5.42B,18.56,-4.48%,1.30B
GRFS,"Grifols, S.A.",5.41B,6.89,-0.29%,7.81B
USM,United States Cellular Corporation,5.40B,62.80,-1.13%,3.80B
BE,Bloom Energy Corporation,5.39B,23.58,0.26%,1.26B
PFSI,"PennyMac Financial Services, Inc.",5.38B,104.69,-8.82%,2.03B
NOVT,Novanta Inc.,5.38B,149.66,0.40%,922.75M
SWX,"Southwest Gas Holdings, Inc.",5.36B,74.68,-0.39%,5.21B
CRUS,"Cirrus Logic, Inc.",5.34B,100.44,1.16%,1.91B
MOD,Modine Manufacturing Company,5.33B,101.45,-0.99%,2.48B
